"fecha","Freq"
"2022-05-28",2353
"2022-05-29",1940
"2022-05-30",3430
"2022-05-31",3592
"2022-06-01",3335
"2022-06-02",3549
"2022-06-03",3622
"2022-06-04",2611
"2022-06-05",2207
"2022-06-06",3790
"2022-06-07",3755
"2022-06-08",3188
"2022-06-09",3378
"2022-06-10",3484
"2022-06-11",2705
"2022-06-12",2384
"2022-06-13",3658
"2022-06-14",4177
"2022-06-15",4209
"2022-06-16",4172
"2022-06-17",2119
"2022-06-18",2452
"2022-06-19",1944
"2022-06-20",2116
"2022-06-21",3488
"2022-06-22",3357
"2022-06-23",3267
"2022-06-24",3394
"2022-06-25",2526
"2022-06-26",1513
"2022-06-27",2913
"2022-06-28",3278
"2022-06-29",3617
"2022-06-30",3726
"2022-07-01",3457
"2022-07-02",2764
"2022-07-03",2046
"2022-07-04",3554
"2022-07-05",3583
"2022-07-06",3456
"2022-07-07",3639
"2022-07-08",3435
"2022-07-09",2688
"2022-07-10",2057
"2022-07-11",2613
"2022-07-12",3070
"2022-07-13",3192
"2022-07-14",3286
"2022-07-15",2943
"2022-07-16",1534
"2022-07-17",2013
"2022-07-18",2934
"2022-07-19",3245
"2022-07-20",3476
"2022-07-21",3192
"2022-07-22",3486
"2022-07-23",2549
"2022-07-24",2183
"2022-07-25",3464
"2022-07-26",3868
"2022-07-27",3454
"2022-07-28",3490
"2022-07-29",3494
"2022-07-30",3044
"2022-07-31",3057
"2022-08-01",3879
"2022-08-02",3983
"2022-08-03",3667
"2022-08-04",3456
"2022-08-05",3850
"2022-08-06",2557
"2022-08-07",2471
"2022-08-08",2866
"2022-08-09",3755
"2022-08-10",3804
"2022-08-11",3807
"2022-08-12",3995
"2022-08-13",3209
"2022-08-14",3173
"2022-08-15",2000
"2022-08-16",3951
"2022-08-17",3642
"2022-08-18",3450
"2022-08-19",3497
"2022-08-20",3116
"2022-08-21",2801
"2022-08-22",3786
"2022-08-23",4160
"2022-08-24",4185
"2022-08-25",4030
"2022-08-26",4261
"2022-08-27",2792
"2022-08-28",2686
"2022-08-29",3796
"2022-08-30",3615
"2022-08-31",4149
"2022-09-01",3495
"2022-09-02",3417
"2022-09-03",3360
"2022-09-04",3156
"2022-09-05",4227
"2022-09-06",4364
"2022-09-07",4493
"2022-09-08",3965
"2022-09-09",3636
"2022-09-10",3505
"2022-09-11",2713
"2022-09-12",4018
"2022-09-13",4257
"2022-09-14",4463
"2022-09-15",4488
"2022-09-16",4311
"2022-09-17",3403
"2022-09-18",1666
"2022-09-19",3504
"2022-09-20",3052
"2022-09-21",3156
"2022-09-22",4155
"2022-09-23",4390
"2022-09-24",3454
"2022-09-25",3126
"2022-09-26",3931
"2022-09-27",4354
"2022-09-28",4401
"2022-09-29",4149
"2022-09-30",4339
"2022-10-01",3687
"2022-10-02",3374
"2022-10-03",4483
"2022-10-04",4530
"2022-10-05",3728
"2022-10-06",3976
"2022-10-07",3409
"2022-10-08",2260
"2022-10-09",2972
"2022-10-10",2773
"2022-10-11",4525
"2022-10-12",7049
"2022-10-13",6728
"2022-10-14",3363
"2022-10-15",1868
"2022-10-16",2364
"2022-10-17",4304
"2022-10-18",4631
"2022-10-19",4301
"2022-10-20",3707
"2022-10-21",4742
"2022-10-22",2869
"2022-10-23",3394
"2022-10-24",4480
"2022-10-25",4611
"2022-10-26",4304
"2022-10-27",4739
"2022-10-28",4891
"2022-10-29",3420
"2022-10-30",1774
"2022-10-31",4068
"2022-11-01",4608
"2022-11-02",4762
"2022-11-03",4866
"2022-11-04",4742
"2022-11-05",3573
"2022-11-06",3187
"2022-11-07",4720
"2022-11-08",4942
"2022-11-09",4890
"2022-11-10",3888
"2022-11-11",4407
"2022-11-12",2765
"2022-11-13",1704
"2022-11-14",4293
"2022-11-15",4662
"2022-11-16",4580
"2022-11-17",4371
"2022-11-18",4524
"2022-11-19",3293
"2022-11-20",2544
"2022-11-21",2496
"2022-11-22",4371
"2022-11-23",4571
"2022-11-24",4404
"2022-11-25",4096
"2022-11-26",2607
"2022-11-27",2535
"2022-11-28",3950
"2022-11-29",4140
"2022-11-30",3997
"2022-12-01",4247
"2022-12-02",4258
"2022-12-03",3083
"2022-12-04",2767
"2022-12-05",3973
"2022-12-06",3915
"2022-12-07",3885
"2022-12-08",2852
"2022-12-09",2195
"2022-12-10",2603
"2022-12-11",2475
"2022-12-12",3814
"2022-12-13",4095
"2022-12-14",4161
"2022-12-15",4142
"2022-12-16",4171
"2022-12-17",3419
"2022-12-18",3628
"2022-12-19",3526
"2022-12-20",3771
"2022-12-21",4032
"2022-12-22",4055
"2022-12-23",2285
"2022-12-24",1939
"2022-12-25",1727
"2022-12-26",3534
"2022-12-27",3829
"2022-12-28",3882
"2022-12-29",3724
"2022-12-30",3296
"2022-12-31",1879
"2023-01-01",1346
"2023-01-02",3418
"2023-01-03",3674
"2023-01-04",3695
"2023-01-05",3613
"2023-01-06",3445
"2023-01-07",2617
"2023-01-08",2320
"2023-01-09",3514
"2023-01-10",3556
"2023-01-11",3214
"2023-01-12",3364
"2023-01-13",4079
"2023-01-14",3020
"2023-01-15",2772
"2023-01-16",3418
"2023-01-17",3485
"2023-01-18",3447
"2023-01-19",3503
"2023-01-20",2343
"2023-01-21",2504
"2023-01-22",2677
"2023-01-23",3624
"2023-01-24",3560
"2023-01-25",4010
"2023-01-26",3781
"2023-01-27",2212
"2023-01-28",2814
"2023-01-29",2786
"2023-01-30",3778
"2023-01-31",4047
"2023-02-01",3787
"2023-02-02",3965
"2023-02-03",3958
"2023-02-04",3117
"2023-02-05",3079
"2023-02-06",4084
"2023-02-07",4100
"2023-02-08",4326
"2023-02-09",4087
"2023-02-10",3759
"2023-02-11",2647
"2023-02-12",2412
"2023-02-13",3373
"2023-02-14",4095
"2023-02-15",4236
"2023-02-16",3461
"2023-02-17",3259
"2023-02-18",2937
"2023-02-19",2943
"2023-02-20",2735
"2023-02-21",2756
"2023-02-22",4336
"2023-02-23",3598
"2023-02-24",4227
"2023-02-25",3116
"2023-02-26",2978
"2023-02-27",4230
"2023-02-28",3969
"2023-03-01",3933
"2023-03-02",3859
"2023-03-03",3836
"2023-03-04",2784
"2023-03-05",2493
"2023-03-06",3754
"2023-03-07",4105
"2023-03-08",3891
"2023-03-09",3990
"2023-03-10",3653
"2023-03-11",2470
"2023-03-12",2300
"2023-03-13",3509
"2023-03-14",3642
"2023-03-15",3705
"2023-03-16",3752
"2023-03-17",3688
"2023-03-18",3132
"2023-03-19",2289
"2023-03-20",3713
"2023-03-21",1170
"2023-03-22",3063
"2023-03-23",3640
"2023-03-24",2549
"2023-03-25",2494
"2023-03-26",3068
"2023-03-27",3641
"2023-03-28",4111
"2023-03-29",3394
"2023-03-30",3817
"2023-03-31",3836
"2023-04-01",3082
"2023-04-02",2829
"2023-04-03",2992
"2023-04-04",3957
"2023-04-05",4179
"2023-04-06",3177
"2023-04-07",2882
"2023-04-08",2950
"2023-04-09",2482
"2023-04-10",4027
"2023-04-11",4253
"2023-04-12",2779
"2023-04-13",4000
"2023-04-14",3823
"2023-04-15",2838
"2023-04-16",2461
"2023-04-17",3719
"2023-04-18",3318
"2023-04-19",4293
"2023-04-20",3829
"2023-04-21",3718
"2023-04-22",2763
"2023-04-23",2740
"2023-04-24",3666
"2023-04-25",3350
"2023-04-26",4025
"2023-04-27",4196
"2023-04-28",4256
"2023-04-29",3198
"2023-04-30",2129
"2023-05-01",2241
"2023-05-02",3916
"2023-05-03",4009
"2023-05-04",4145
"2023-05-05",1468
"2023-05-06",1928
"2023-05-07",2908
"2023-05-08",3839
"2023-05-09",4008
"2023-05-10",4002
"2023-05-11",3794
"2023-05-12",3780
"2023-05-13",3025
"2023-05-14",3028
"2023-05-15",3894
"2023-05-16",4042
"2023-05-17",3980
"2023-05-18",3987
"2023-05-19",2418
"2023-05-20",2695
"2023-05-21",1757
"2023-05-22",3533
"2023-05-23",3737
"2023-05-24",1276
"2023-05-25",1114
"2023-05-26",2152
"2023-05-27",2282
"2023-05-28",2176
"2023-05-29",2935
"2023-05-30",3543
"2023-05-31",3533
"2023-06-01",3665
"2023-06-02",3593
"2023-06-03",2861
"2023-06-04",2463
"2023-06-05",3052
"2023-06-06",3529
"2023-06-07",3595
"2023-06-08",3763
"2023-06-09",3328
"2023-06-10",2565
"2023-06-11",2037
"2023-06-12",2867
"2023-06-13",4569
"2023-06-14",3170
"2023-06-15",3365
"2023-06-16",3115
"2023-06-17",2336
"2023-06-18",1830
"2023-06-19",1719
"2023-06-20",2296
"2023-06-21",2943
"2023-06-22",4312
"2023-06-23",2985
"2023-06-24",1838
"2023-06-25",2395
"2023-06-26",2902
"2023-06-27",2525
"2023-06-28",3203
"2023-06-29",2930
"2023-06-30",2949
"2023-07-01",2461
"2023-07-02",2142
"2023-07-03",3201
"2023-07-04",3577
"2023-07-05",3212
"2023-07-06",2414
"2023-07-07",3050
"2023-07-08",1647
"2023-07-09",1939
"2023-07-10",2664
"2023-07-11",2215
"2023-07-12",574
"2023-07-13",2173
"2023-07-14",2331
"2023-07-15",1805
"2023-07-16",2140
"2023-07-17",2310
"2023-07-18",2467
"2023-07-19",2351
"2023-07-20",2610
"2023-07-21",2663
"2023-07-22",2217
"2023-07-23",2084
"2023-07-24",2180
"2023-07-25",2074
"2023-07-26",2471
"2023-07-27",2623
"2023-07-28",2813
"2023-07-29",2286
"2023-07-30",2350
"2023-07-31",2979
"2023-08-01",3316
"2023-08-02",3172
"2023-08-03",3010
"2023-08-04",3149
"2023-08-05",2395
"2023-08-06",2555
"2023-08-07",2853
"2023-08-08",2906
"2023-08-09",2881
"2023-08-10",2707
"2023-08-11",2907
"2023-08-12",1901
"2023-08-13",2108
"2023-08-14",2882
"2023-08-15",3291
"2023-08-16",3367
"2023-08-17",2422
"2023-08-18",2483
"2023-08-19",1982
"2023-08-20",1911
"2023-08-21",2096
"2023-08-22",2780
"2023-08-23",3075
"2023-08-24",2924
"2023-08-25",2707
"2023-08-26",2043
"2023-08-27",1990
"2023-08-28",2673
"2023-08-29",3128
"2023-08-30",3180
"2023-08-31",3193
"2023-09-01",3536
"2023-09-02",1547
"2023-09-03",643
"2023-09-04",2641
"2023-09-05",3006
"2023-09-06",2756
"2023-09-07",2822
"2023-09-08",3032
"2023-09-09",2339
"2023-09-10",2963
"2023-09-11",2491
"2023-09-12",2981
"2023-09-13",3249
"2023-09-14",3217
"2023-09-15",3148
"2023-09-16",2691
"2023-09-17",1908
"2023-09-18",2916
"2023-09-19",2997
"2023-09-20",2599
"2023-09-21",3053
"2023-09-22",2915
"2023-09-23",2086
"2023-09-24",2169
"2023-09-25",2763
"2023-09-26",2966
"2023-09-27",3434
"2023-09-28",3378
"2023-09-29",3407
"2023-09-30",2523
"2023-10-01",2482
"2023-10-02",3209
"2023-10-03",2436
"2023-10-04",3287
"2023-10-05",3397
"2023-10-06",3234
"2023-10-07",2823
"2023-10-08",2499
"2023-10-09",3252
"2023-10-10",3325
"2023-10-11",2467
"2023-10-12",3273
"2023-10-13",2277
"2023-10-14",2403
"2023-10-15",2024
"2023-10-16",1838
"2023-10-17",3121
"2023-10-18",3026
"2023-10-19",3300
"2023-10-20",3303
"2023-10-21",2289
"2023-10-22",1664
"2023-10-23",1811
"2023-10-24",2890
"2023-10-25",3420
"2023-10-26",3391
"2023-10-27",2952
"2023-10-28",2641
"2023-10-29",2372
"2023-10-30",2453
